,osm_id,h3level9,lat,lon,name,name_en,name_bn,need_translate_en2bn,need_translate_bn2en,alt_names,local_admin_name,admin0_name,admin2_name,addr_level,poi_addr_match,poi_class,poi_keywords,country,division,district,thana,union,region_hash
4752,2344154850,893cf02108bffff,23.4863527,89.4217504,Magura General Hospital,"Magura General Hospital, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Magura General Hospital, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
4812,2805657809,893cf02109bffff,23.4891247,89.4190109,Government Hossain Shaheed Sharwardi College,"Government Hossain Shaheed Sharwardi College, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Government Hossain Shaheed Sharwardi College, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
4815,2805659180,893cf0210d3ffff,23.4862682,89.4131314,Adorsho Degree College,"Adorsho Degree College, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Adorsho Degree College, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
4818,2805665824,893cf02146bffff,23.4861784,89.4101037,Circuit House,"Circuit House, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Circuit House, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['guest_house'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
4821,2805666418,893cf021093ffff,23.4913258,89.4203807,Magura Government Girls High School,"Magura Government Girls High School, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Magura Government Girls High School, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
4825,2805669456,893cf021093ffff,23.4931114,89.4192874,Magura Judge Court,"Magura Judge Court, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Magura Judge Court, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['government'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
4832,2809017168,893cf066b37ffff,23.261368,89.4409837,Garerghat High School,"Garerghat High School, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Garerghat High School, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Magura,Shalikha,Gangarampur,5d02ea07ed617bf9f1d8031993dc1af2
4836,2809024908,893cf066987ffff,23.2898654,89.437016,Pulum High School,"Pulum High School, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Pulum High School, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Magura,Shalikha,Gangarampur,5d02ea07ed617bf9f1d8031993dc1af2
4840,2809028222,893cf029a93ffff,23.3145427,89.4356849,Naliya Primary School,"Naliya Primary School, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Naliya Primary School, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
4844,2809034237,893cf029e47ffff,23.3121881,89.4246001,Bunagati Primary School,"Bunagati Primary School, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Bunagati Primary School, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
4847,2809039581,893cf029e7bffff,23.3112773,89.4254447,Bunagati High School,"Bunagati High School, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Bunagati High School, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['hospital'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
4850,2809046339,893cf029e47ffff,23.3108334,89.4235619,সোনালী ব্যাংক,"Shalikha Upazila, Magura District, Khulna Division, Bangladesh","সোনালী ব্যাংক, শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"সোনালী ব্যাংক, ",['Sonali Bank'],শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
4854,2809051122,893cf029e47ffff,23.3116675,89.4223695,Bunagati College,"Bunagati College, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Bunagati College, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['college'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
4856,2809053678,893cf029e43ffff,23.3113135,89.4217602,Bunagati Bus Stop,"Bunagati Bus Stop, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",Bunagati Bus Stop,,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
4858,2809054627,893cf029e43ffff,23.3118852,89.4216612,Mosque,"Mosque, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Mosque, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['place_of_worship_muslim'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
4860,2809066048,893cf029e43ffff,23.3121397,89.418969,গ্রামীণ ব্যাংক,"Shalikha Upazila, Magura District, Khulna Division, Bangladesh","গ্রামীণ ব্যাংক, শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"গ্রামীণ ব্যাংক, ",['Grameen Bank'],শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Khulna,Magura,Shalikha,Bunagati,7fbf07ae019a8a72998e6f5854a311ba
349,5174124756,893cf02108bffff,23.4854267,89.419105,Jessore Bus Stand,"Jessore Bus Stand, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",Jessore Bus Stand,,,Magura,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
353,5174129825,893cf0210d7ffff,23.4853574,89.4188902,ডাচ-বাংলা ব্যাংক এটিএম,"Magura, Magura District, Khulna Division, Bangladesh","ডাচ-বাংলা ব্যাংক এটিএম, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"ডাচ-বাংলা ব্যাংক এটিএম, ","['ডাচ বাংলা ব্যাংক এটিএম', 'Dutch Bangla Bank ATM']",Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
362,5174131171,893cf0210d7ffff,23.4855505,89.4187145,Munshi Monirul Haque Market,"Munshi Monirul Haque Market, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Munshi Monirul Haque Market, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['mall'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
366,5174131445,893cf0210d7ffff,23.4855566,89.4178887,Jhenaidah Bus Stand,"Jhenaidah Bus Stand, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",Jhenaidah Bus Stand,,,Magura,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
370,5174138598,893cf02108bffff,23.4864815,89.4192948,,"Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['atm'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
373,5175727048,893cf0210bbffff,23.4879425,89.4283993,Dhaka Road Bus Stop,"Dhaka Road Bus Stop, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",Dhaka Road Bus Stop,,,Magura,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
378,5175731964,893cf0210bbffff,23.4880276,89.4278818,প্রাইম ব্যাংক লিমিটেড,"Magura, Magura District, Khulna Division, Bangladesh","প্রাইম ব্যাংক লিমিটেড, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"প্রাইম ব্যাংক লিমিটেড, ",['Prime Bank Limited'],Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
382,5175734440,893cf0210bbffff,23.487837,89.4278161,এক্সিম ব্যাংক লিমিটেড,"Magura, Magura District, Khulna Division, Bangladesh","এক্সিম ব্যাংক লিমিটেড, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"এক্সিম ব্যাংক লিমিটেড, ",['Exim Bank Limited'],Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['bank'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
386,5175752137,893cf021527ffff,23.5058353,89.4461634,Loxmikandor Bus Station,"Loxmikandor Bus Station, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",Loxmikandor Bus Station,,,Magura,বাংলাদেশ,খুলনা বিভাগ,street,boundaries,['bus_stop'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
389,5175756967,893cf0203d7ffff,23.5201108,89.4702357,Ramnagar Bazar,"Ramnagar Bazar, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Ramnagar Bazar, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['variety_store'],[],Bangladesh,Khulna,Magura,MaguraSadar,Kasundi,a5c3136adaac4f7f6445b90078aa6f31
2019,5174089517,893cf07480bffff,23.3253773,89.3169543,Muslim Hotel,"Muslim Hotel, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Muslim Hotel, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['restaurant'],[],Bangladesh,Khulna,Magura,Shalikha,Talkhari,b8463ccdc25736fc2c4392cef01826b2
2022,5174091821,893cf07480bffff,23.3254937,89.3170256,Shoriful Store শরিফুল স্টোর,"Shoriful Store, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শরিফুল স্টোর, শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['mall'],[],Bangladesh,Khulna,Magura,Shalikha,Talkhari,b8463ccdc25736fc2c4392cef01826b2
2029,5174091895,893cf07480fffff,23.3258061,89.3172805,Simakhali Market সীমাখালী বাজার,"Simakhali Market, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","সীমাখালী বাজার, শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Khulna,Magura,Shalikha,Shatakhali,4f931444f3d837b59aeff5d483d579df
2035,5174092737,893cf07480fffff,23.3257076,89.3173476,Mollah Book Centre,"Mollah Book Centre, Shalikha Upazila, Magura District, Khulna Division, Bangladesh","শালিখা উপজেলা, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Mollah Book Centre, ",,,শালিখা উপজেলা,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['bookshop'],[],Bangladesh,Khulna,Magura,Shalikha,Shatakhali,4f931444f3d837b59aeff5d483d579df
2242,6151826944,893cf0210a3ffff,23.4901009,89.4318112,Alokdia Bazar,"Alokdia Bazar, Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ","Alokdia Bazar, ",,,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
2450,6382154812,893cf02142bffff,23.49429,89.4154385,নতুন বাজার,"Magura, Magura District, Khulna Division, Bangladesh","নতুন বাজার, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"নতুন বাজার, ",,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['marketplace'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
2453,6382154939,893cf02142bffff,23.4948752,89.4149829,মাছের বাজার,"Magura, Magura District, Khulna Division, Bangladesh","মাছের বাজার, মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,"মাছের বাজার, ",,Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['seafood'],[],Bangladesh,Khulna,Magura,MaguraSadar,MaguraPaurashava,f64af54aa72a064b7288b63e87d9e0a8
2475,6618920885,893cf02ac87ffff,23.4524746,89.4381637,,"Magura, Magura District, Khulna Division, Bangladesh","মাগুরা জেলা, খুলনা বিভাগ, বাংলাদেশ",,,['Madinatul Ulum Madrasa'],Magura,বাংলাদেশ,খুলনা বিভাগ,local_admin,boundaries,['school'],[],Bangladesh,Khulna,Magura,MaguraSadar,Chaulia,35b1bf839e922c2c7f433f4929060730
